time,roll,pitch,altitude,vibration_z,label
16.464,0.0412634474622158,0.0049374719491675,2.0282996726349523,-0.0001784386967687,SAFE
16.472,0.0412639768849474,0.0049352088486241,2.028385384801086,-0.0001718750260198,SAFE
16.48,0.0412648707457227,0.0049336271603418,2.028468455065385,-0.0001664240420254,SAFE
16.488,0.0412660162242424,0.0049327106530923,2.028548894492172,-0.0001621389793224,SAFE
16.496,0.0412673029837838,0.004932436908394,2.028626714598041,-0.0001589931809323,SAFE
16.504,0.0412686295578899,0.0049327778116588,2.0287019273152223,-0.000156894469467,SAFE
16.512,0.0412699081820914,0.0049337000913396,2.028774544953759,-0.0001557012786948,SAFE
16.52,0.041271068014722,0.0049351658865101,2.028844580164799,-0.0001552388222241,SAFE
16.528,0.0412720568075731,0.0049371333585569,2.0289120459013974,-0.0001553154358433,SAFE
16.536,0.0412728411652925,0.0049395573176886,2.028976955380486,-0.0001557367712877,SAFE
16.544,0.0412734056059517,0.0049423898710799,2.029039322043776,-0.0001563184226755,SAFE
16.552,0.0412737506665968,0.0049455810631685,2.029099159521198,-0.0001568953262507,SAFE
16.56,0.0412738903253157,0.0049490795230012,2.0291564815931853,-0.0001573291672914,SAFE
16.568,0.0412738490016643,0.004952833097278,2.029211302153997,-0.0001575125564513,SAFE
16.576,0.041273658394902,0.00495678945377,2.0292636351780224,-0.0001573706097595,SAFE
16.584,0.0412733543707398,0.0049608966669075,2.0293134946855624,-0.0001568605527054,SAFE
16.592,0.0412729740896468,0.004965103763705,2.02936089471146,-0.0001559692277613,SAFE
16.6,0.0412725535066962,0.0049693612358074,2.02940584927447,-0.0001547092738851,SAFE
16.608,0.0412721253470773,0.0049736214980139,2.029448372350701,-0.0001531141242164,SAFE
16.616,0.0412717175969063,0.004977839308998,2.0294884778475675,-0.0001512327862714,SAFE
16.624,0.0412713525285863,0.0049819721440369,2.029526179580153,-0.0001491244941414,SAFE
16.632,0.0412710462308613,0.0049859805060276,2.029561491252036,-0.0001468531296983,SAFE
16.64,0.0412708085960867,0.004989828198038,2.029594426436735,-0.0001444829300585,SAFE
16.648,0.0412706436890296,0.0049934825370222,2.0296249985632078,-0.0001420742520382,SAFE
16.656,0.041270550418729,0.0049969145254261,2.029653220902908,-0.0001396807595274,SAFE
16.664,0.0412705234200196,0.0050000989617067,2.0296791065617694,-0.0001373468501553,SAFE
16.672,0.0412705540608085,0.0050030145154288,2.0297026684731083,-0.0001351067426091,SAFE
16.68,0.0412706314880396,0.0050056437562922,2.0297239193933634,-0.0001329839197404,SAFE
16.688,0.0412707436498483,0.0050079731321229,2.029742871902265,-0.0001309912844594,SAFE
16.696,0.0412708782251604,0.0050099929174355,2.0297595384035865,-0.0001291322119644,SAFE
16.704,0.0412710234272964,0.0050116971198111,2.0297739311294656,-0.0001274018334021,SAFE
16.712,0.0412711686435798,0.0050130833581205,2.029786062145813,-0.0001257887182742,SAFE
16.72,0.0412713049066626,0.0050141527002864,2.029795943361739,-0.000124276489427,SAFE
16.728,0.0412714251855926,0.0050149094827143,2.0298035865390496,-0.0001228457513967,SAFE
16.736,0.041271524515245,0.0050153611067064,2.029809003303339,-0.0001214758979018,SAFE
16.744,0.0412715999765686,0.005015517802761,2.029812205158358,-0.0001201462537612,SAFE
16.752,0.0412716505560167,0.0050153923898242,2.0298132034994736,-0.0001188377248764,SAFE
16.76,0.0412716769078752,0.0050150000121993,2.0298120096293557,-0.000117533484126,SAFE
16.768,0.0412716810541208,0.0050143578732491,2.029808634773117,-0.0001162199190986,SAFE
